customer_id,join_date,last_purchase_date,age,gender,location,responded_to_Buy_One_Get_One,responded_to_Discount,responded_to_Free_Shipping,Buy_One_Get_One_response_date,Discount_response_date,Free_Shipping_response_date,number_of_site_visits,number_of_emails_opened,number_of_clicks
76,2021-07-10,2023-10-25,52.0,Male,East Rebecca,0,0,1,,,2022-01-29,263,37,41.0
77,2024-02-19,2024-04-12,48.0,Female,Juliemouth,0,0,2,,,2024-03-25,3,3,3.0
78,2020-08-08,2021-06-21,66.0,Female,Greeneberg,0,1,0,,2021-01-05,,62,2,29.0
79,2022-12-09,2023-04-30,59.0,Female,Lake Marissaton,1,1,0,2023-01-02,2023-02-18,,2,14,4.0
80,2022-04-22,2023-07-03,18.0,Male,Stevenside,1,0,0,2022-08-13,,,42,69,3.0
81,2023-08-07,2023-12-13,67.0,Female,Longton,0,0,1,,,2023-10-22,18,20,6.0
82,2022-08-08,2024-04-21,19.0,Male,Port Stevenville,1,1,0,2023-09-28,2023-07-16,,43,52,23.0
83,2022-09-10,2023-08-26,24.0,Female,Smithfort,0,0,1,,,2022-10-22,117,45,5.0
84,2020-07-01,2023-07-19,43.0,Female,South Davidton,1,1,0,2021-12-02,2021-04-09,,363,139,69.0
85,2021-10-15,2024-05-30,26.0,Female,Williamsside,1,0,0,2023-04-15,,,363,27,12.0
86,2022-11-18,2023-03-31,28.0,Female,East Brooke,0,1,0,,2023-03-17,,43,2,5.0
87,2020-08-29,2023-11-25,20.0,Male,East John,2,0,1,2022-10-03,,2023-03-16,363,127,33.0
88,2022-12-27,2023-07-18,38.0,Male,East Noah,1,0,1,2023-03-02,,2023-02-14,31,20,15.0
89,2023-03-27,2023-09-04,43.0,Female,Buckleychester,0,1,0,,2023-07-22,,25,2,10.0
90,2024-05-27,2024-05-31,60.0,Male,Jimenezland,1,0,0,2024-05-28,,,1,1,1.0
91,2023-09-01,2023-10-19,50.0,Female,Dawnhaven,0,0,0,,,,5,1,1.0
92,2022-08-16,2024-05-18,55.0,Male,Laneland,0,0,0,,,,134,4,15.0
93,2023-10-11,2023-11-09,37.0,Female,Traceyborough,1,0,0,2023-10-12,,,8,3,1.0
95,2021-01-08,2023-10-25,37.0,Male,East Joseph,0,1,0,,2023-01-12,,140,84,1.0
96,2022-06-05,2022-10-01,41.0,Female,Susanland,0,0,0,,,,51,9,4.0
97,2020-01-12,2020-08-24,47.0,Male,Lake Katieborough,1,0,0,2020-06-22,,,35,7,8.0
98,2022-09-03,2023-08-22,65.0,Female,Kevinmouth,2,0,0,2023-06-01,,,101,29,23.0
99,2021-07-20,2024-02-13,32.0,Female,Georgeberg,1,0,0,2021-12-22,,,216,136,47.0
100,2022-08-29,2023-01-01,43.0,Male,Andrewton,1,1,1,2022-10-03,2022-10-22,2022-10-19,13,21,9.0
101,2024-02-29,2024-03-07,46.0,Male,Johnville,0,1,0,,2024-03-03,,2,1,1.0
102,2023-06-17,2023-09-17,43.0,Female,Williamston,0,0,0,,,,30,12,4.0
103,2022-11-03,2023-06-24,61.0,Male,Youngton,0,1,1,,2023-06-11,2023-05-19,80,43,20.0
104,2021-06-06,2023-11-12,35.0,Female,New Michael,1,0,0,2022-01-24,,,282,100,6.0
105,2022-08-27,2022-11-04,66.0,Female,Lake Wendy,0,0,0,,,,19,8,4.0
106,2022-10-17,2023-08-13,61.0,Male,Reidborough,0,2,0,,2023-06-01,,9,49,2.0
107,2022-09-23,2022-11-02,64.0,Male,Grayhaven,0,0,1,,,2022-09-28,4,3,2.0
108,2022-01-23,2023-02-27,29.0,Male,Chapmanchester,0,2,1,,2023-01-30,2022-09-21,13,8,35.0
109,2022-04-28,2022-10-27,61.0,Male,New Elizabeth,1,0,1,2022-08-08,,2022-10-05,10,19,6.0
110,2021-10-21,2024-03-30,58.0,Female,West Elizabethfort,0,1,0,,2023-01-14,,346,139,57.0
111,2020-06-05,2020-07-16,34.0,Female,Reynoldsmouth,0,1,2,,2020-06-23,2020-07-15,3,4,1.0
113,2024-03-17,2024-05-27,49.0,Female,Lake Ericchester,0,0,0,,,,1,3,5.0
114,2023-10-14,2024-04-18,28.0,Male,Port Joshuafort,1,0,0,2024-01-10,,,52,31,15.0
115,2024-03-20,2024-05-05,27.0,Male,North Brian,1,0,2,2024-04-12,,2024-04-02,2,2,1.0
116,2021-08-11,2023-06-07,68.0,Male,Allenshire,1,1,0,2023-04-24,2022-11-27,,165,46,40.0
117,2023-01-14,2024-04-06,26.0,Female,North Christopher,0,2,0,,2023-08-01,,67,47,9.0
118,2023-07-26,2023-10-30,54.0,Female,Sheenafurt,1,0,0,2023-09-28,,,25,9,6.0
119,2022-09-24,2024-02-21,68.0,Female,Jamesmouth,1,1,1,2023-09-29,2023-03-20,2023-07-09,102,3,10.0
120,2020-06-24,2023-05-12,35.0,Male,Robertbury,1,0,0,2021-01-22,,,120,139,59.0
121,2023-01-27,2023-05-05,64.0,Male,Jesusbury,0,0,0,,,,31,15,8.0
122,2023-02-18,2024-01-06,43.0,Male,North Hannahton,1,0,0,2023-05-22,,,141,60,16.0
123,2023-03-06,2024-05-02,47.0,Male,North Kimberlyfurt,0,0,0,,,,201,54,13.0
124,2022-11-23,2023-10-14,34.0,Female,Thompsonbury,2,0,0,2023-09-12,,,114,16,18.0
125,2022-08-03,2024-01-08,43.0,Female,Ritaland,1,0,2,2023-06-09,,2023-03-01,134,74,38.0
126,2020-06-28,2024-01-27,50.0,Male,Port Timothy,1,0,0,2022-03-16,,,307,139,69.04999999999927
127,2023-02-06,2024-05-31,54.0,Female,Port Terri,0,1,0,,2023-02-23,,2,36,22.0
128,2020-01-18,2021-04-29,66.0,Male,West Erin,2,1,0,2020-09-10,2021-01-19,,171,4,45.0
129,2020-08-17,2022-04-03,43.0,Female,Escobarfort,2,0,1,2021-09-19,,2021-03-11,207,112,58.0
130,2023-04-03,2024-04-01,47.0,Male,Waltersburgh,1,0,1,2024-01-02,,2023-12-22,174,3,31.0
131,2020-07-02,2024-03-02,64.0,Male,Jacksonstad,1,0,0,2024-01-27,,,142,74,20.0
132,2021-07-09,2024-04-30,54.0,Male,Port Kristinamouth,0,0,1,,,2021-10-11,281,34,44.0
133,2022-08-22,2024-01-15,65.0,Male,North Kevin,0,0,0,,,,228,66,7.0
135,2020-07-27,2021-06-26,68.0,Male,Port Susan,1,0,1,2021-03-28,,2020-08-07,160,34,2.0
136,2020-05-19,2022-01-30,63.0,Male,South Denise,0,1,1,,2020-06-16,2021-09-20,149,53,16.0
137,2023-08-10,2024-04-07,25.0,Female,Ronaldhaven,1,1,0,2023-11-11,2023-11-10,,26,7,7.0
138,2024-05-08,2024-05-18,18.0,Female,New Jane,2,1,0,2024-05-16,2024-05-08,,1,1,1.0
139,2020-06-23,2023-09-20,55.0,Male,Kaylaberg,0,1,0,,2021-02-03,,203,95,59.0
140,2022-02-11,2022-06-06,24.0,Male,Jillfort,0,0,1,,,2022-03-29,42,20,6.0
141,2021-05-01,2022-03-05,43.0,Male,New Cassie,1,0,0,2021-08-13,,,108,53,24.0
142,2020-07-29,2023-08-02,66.0,Male,Michelleport,1,0,0,2021-01-21,,,363,96,48.0
143,2021-05-30,2022-10-19,21.0,Male,Haysstad,1,0,0,2022-09-15,,,218,10,6.0
144,2023-07-03,2023-12-18,67.0,Male,West Kathryn,0,0,0,,,,83,8,5.0
145,2023-06-16,2024-03-24,21.0,Male,Wilsonmouth,0,0,1,,,2023-07-13,117,9,3.0
146,2024-02-19,2024-03-15,60.0,Female,Anneton,0,0,0,,,,2,1,1.0
147,2024-04-10,2024-04-15,43.0,Male,South Amanda,0,0,1,,,2024-04-14,1,1,1.0
148,2022-03-04,2024-04-13,22.0,Male,Jeremyberg,0,0,0,,,,187,139,8.0
149,2023-08-12,2024-05-30,43.0,Male,New Andrewstad,0,0,0,,,,25,14,18.0
150,2023-12-03,2024-04-01,62.0,Male,Port Manuelstad,2,0,0,2024-03-06,,,1,17,5.0
151,2021-01-07,2022-09-19,21.0,Female,South Andrew,0,0,1,,,2021-12-04,231,56,28.0
152,2020-02-13,2022-12-18,49.0,Female,Port Melissa,1,1,0,2021-08-27,2020-11-06,,363,104,69.04999999999927
153,2022-05-06,2023-11-23,59.0,Male,Hamiltonbury,1,2,0,2023-07-02,2023-10-31,,193,100,14.0
154,2023-10-14,2023-11-11,51.0,Female,North Michael,1,0,1,2023-11-03,,2023-11-07,1,1,1.0
155,2023-06-17,2023-12-29,24.0,Female,West Kimberly,0,0,0,,,,19,36,7.0
156,2023-07-02,2023-07-04,43.0,Male,Jennyland,0,1,0,,2023-07-02,,1,1,1.0
157,2022-08-14,2022-12-09,43.0,Female,Perezborough,1,1,1,2022-12-04,2022-10-14,2022-12-03,19,12,8.0
158,2023-08-21,2024-01-28,60.0,Female,Burnston,0,0,0,,,,67,9,4.0
159,2022-03-27,2023-08-20,53.0,Female,Victorchester,0,0,0,,,,24,8,3.0
160,2020-04-12,2023-03-10,39.0,Female,West John,1,0,0,2020-09-12,,,87,85,24.0
161,2022-05-12,2023-07-06,52.0,Male,West Jenniferborough,0,1,0,,2023-05-09,,165,40,9.0
162,2022-11-06,2023-12-25,67.0,Female,Stonemouth,1,2,1,2023-01-28,2023-07-07,2023-09-05,82,76,6.0
163,2021-06-09,2024-02-20,48.0,Male,Oneillview,0,1,0,,2023-04-28,,159,123,22.0
164,2021-10-27,2021-11-21,60.0,Male,Port Stephenland,0,0,0,,,,2,4,1.0
165,2023-06-09,2023-06-23,39.0,Female,North Joseph,1,1,1,2023-06-18,2023-06-13,2023-06-12,5,1,1.0
166,2022-05-26,2022-07-21,53.0,Female,New Janice,0,1,0,,2022-06-12,,18,8,1.0
167,2023-08-26,2024-02-03,54.0,Male,Crawfordberg,1,1,0,2023-09-25,2023-12-21,,2,16,8.0
168,2023-08-26,2023-11-06,67.0,Female,West Justinbury,0,0,2,,,2023-09-17,34,6,4.0
169,2023-06-13,2023-09-18,43.0,Male,East Virginia,0,0,2,,,2023-08-16,40,5,1.0
170,2020-04-05,2023-07-22,55.0,Female,Chelseaview,1,0,0,2023-03-13,,,363,139,69.04999999999927
171,2020-09-11,2020-12-20,43.0,Female,Jerryhaven,0,0,0,,,,41,8,7.0
172,2021-10-02,2022-06-03,33.0,Female,North Kellyfort,0,1,1,,2022-02-25,2021-12-25,39,4,20.0
173,2023-03-30,2023-09-20,41.0,Female,West Theresachester,0,0,1,,,2023-06-28,12,27,1.0
175,2020-10-09,2022-08-09,18.0,Female,North Paul,0,1,1,,2021-12-02,2020-10-17,133,79,6.0
176,2021-05-07,2023-06-21,43.0,Female,Lake Christina,0,0,0,,,,15,27,69.04999999999927
177,2020-01-14,2021-01-28,63.0,Male,East James,0,0,0,,,,105,42,12.0
178,2021-10-01,2023-02-12,52.0,Male,Port Heather,0,0,0,,,,188,1,36.0
179,2020-08-22,2023-11-12,31.0,Female,Owensberg,0,2,0,,2023-09-21,,93,30,69.04999999999927
180,2022-05-28,2023-10-13,35.0,Female,Lake Jeremyport,0,1,1,,2022-11-03,2022-10-09,132,9,10.0
181,2022-11-19,2023-03-20,60.0,Female,West Kathleenland,0,0,0,,,,48,3,1.0
182,2022-02-14,2023-01-22,22.0,Male,North Betty,1,0,1,2022-07-12,,2022-03-04,127,40,15.0
183,2023-03-09,2023-05-15,65.0,Male,Evanston,1,0,0,2023-04-03,,,28,5,1.0
184,2021-09-18,2023-10-09,43.0,Female,Lake Deanside,0,1,0,,2023-09-24,,22,100,46.0
186,2021-10-05,2023-09-25,35.0,Male,Brandonport,1,0,2,2023-03-23,,2023-02-20,308,2,21.0
188,2022-11-10,2023-05-28,45.0,Female,Jessicashire,1,0,1,2023-02-17,,2022-12-18,89,14,12.0
189,2022-01-21,2023-02-20,53.0,Male,Allenview,0,0,1,,,2022-07-15,43,37,1.0
190,2020-03-20,2021-03-18,66.0,Male,Port Tyler,1,0,0,2020-06-05,,,107,45,4.0
191,2023-08-19,2024-04-14,43.0,Male,Jaredchester,0,1,1,,2024-03-25,2024-01-07,66,2,10.0
192,2022-03-02,2023-03-22,43.0,Female,South Stephanieborough,1,0,1,2023-03-01,,2022-07-27,42,28,16.0
193,2023-06-12,2023-12-31,42.0,Male,Johnsonfort,0,0,0,,,,97,23,2.0
194,2024-04-22,2024-05-13,42.0,Female,Parkfurt,0,0,0,,,,4,2,1.0
195,2020-04-03,2023-05-04,37.0,Male,Bullockburgh,3,0,0,2023-01-01,,,363,99,29.0
196,2021-02-19,2022-07-08,44.0,Male,Maxwellmouth,0,1,0,,2021-08-30,,33,12,19.0
197,2020-09-04,2022-07-24,30.0,Male,Jenningsfort,0,0,1,,,2021-08-22,170,122,51.0
198,2020-04-24,2020-05-24,35.0,Female,Feliciashire,0,0,0,,,,3,3,2.0
199,2020-03-04,2020-07-17,20.0,Female,North Johnfurt,0,0,2,,,2020-05-22,9,8,11.0
200,2024-04-02,2024-05-27,38.0,Female,Johnville,0,0,2,,,2024-05-17,17,5,4.0
201,2023-04-12,2023-09-27,26.0,Female,Port Jason,1,0,1,2023-04-23,,2023-09-10,45,9,9.0
202,2023-11-17,2024-04-05,32.0,Female,Andersonhaven,0,0,1,,,2023-12-12,16,6,6.0
203,2021-10-09,2022-04-16,58.0,Female,Colemanhaven,1,0,0,2022-02-15,,,64,32,10.0
204,2020-12-28,2021-12-15,67.0,Male,East Adam,0,1,2,,2021-11-10,2021-05-02,130,19,2.0
205,2020-04-10,2021-02-07,43.0,Male,West David,0,0,0,,,,54,35,9.0
206,2020-03-16,2024-05-22,56.0,Female,Port Phillipville,0,0,0,,,,273,139,14.0
208,2022-11-19,2023-02-14,52.0,Male,Williamside,0,0,1,,,2022-11-23,11,10,1.0
209,2020-12-15,2021-06-11,43.0,Male,Kevinview,0,0,1,,,2021-01-06,27,9,13.0
210,2021-04-10,2024-01-19,47.0,Male,Smithhaven,0,1,1,,2021-09-16,2023-01-10,114,13,56.0
211,2022-09-18,2023-01-06,38.0,Male,South John,1,0,0,2022-10-20,,,26,7,4.0
212,2020-11-05,2024-01-19,43.0,Female,Lake Cheryl,0,1,1,,2022-02-17,2023-03-03,174,139,12.0
213,2021-06-10,2023-01-17,19.0,Female,Port David,2,1,0,2022-07-17,2021-11-21,,195,9,50.0
214,2022-04-02,2022-08-26,25.0,Male,Johnsonstad,1,1,0,2022-07-10,2022-07-23,,40,3,4.0
215,2023-02-23,2024-04-04,36.0,Female,East Lisatown,1,0,0,2023-04-06,,,107,75,14.0
216,2024-05-19,2024-05-30,22.0,Female,South Charlesbury,0,0,0,,,,3,1,1.0
217,2022-12-14,2023-02-05,39.0,Female,East Ryan,0,0,0,,,,2,5,4.0
218,2020-05-17,2021-01-07,69.0,Female,Lake Christopher,0,1,0,,2020-09-30,,52,31,12.0
219,2023-09-20,2024-01-04,26.0,Male,Carolynborough,0,0,0,,,,3,20,1.0
220,2021-04-19,2023-11-17,63.0,Male,East Victoriaberg,1,1,1,2022-11-25,2023-06-20,2021-10-29,275,58,69.04999999999927
221,2023-12-06,2023-12-18,23.0,Female,Scottmouth,2,0,0,2023-12-10,,,2,1,1.0
222,2022-07-16,2022-10-29,36.0,Male,Randymouth,0,0,1,,,2022-10-06,40,7,2.0
223,2021-06-30,2023-04-29,34.0,Female,South Harold,0,0,2,,,2022-08-21,241,132,3.0
224,2023-03-01,2023-09-13,69.0,Male,North Janice,0,0,0,,,,57,36,11.0
226,2021-06-11,2022-03-02,20.0,Female,Port Marcus,1,0,1,2021-11-02,,2021-09-28,85,42,20.0
227,2022-10-16,2023-09-05,65.0,Male,Bridgetland,0,0,0,,,,118,44,23.0
228,2022-02-24,2022-02-28,43.0,Female,Taylormouth,0,0,0,,,,1,1,1.0
229,2021-06-16,2022-08-17,43.0,Female,North Sheriville,1,0,0,2022-07-26,,,166,40,2.0
230,2021-02-05,2022-01-28,18.0,Female,Matthewberg,0,0,1,,,2021-12-23,13,30,13.0
233,2020-12-26,2021-06-12,23.0,Female,Ibarrashire,1,0,1,2021-01-01,,2020-12-31,73,5,13.0
234,2023-11-04,2024-01-31,27.0,Female,Ericville,0,0,2,,,2023-12-20,28,7,3.0
235,2023-02-25,2023-03-27,63.0,Male,South Danielle,1,0,1,2023-03-02,,2023-02-27,8,5,2.0
236,2024-04-27,2024-05-16,47.0,Male,New John,0,0,1,,,2024-05-05,7,2,1.0
237,2022-12-15,2023-05-10,27.0,Female,Abigailborough,0,0,1,,,2023-01-23,2,7,7.0
238,2023-06-13,2024-02-03,29.0,Male,West Angela,0,0,0,,,,81,2,10.0
239,2023-02-10,2024-05-24,43.0,Male,Whiteport,0,3,1,,2024-05-04,2024-02-13,182,52,5.0
240,2023-12-19,2024-01-13,43.0,Male,Nicholeville,0,1,0,,2024-01-04,,4,3,1.0
241,2023-04-23,2023-07-05,52.0,Male,West Glenn,2,1,1,2023-06-22,2023-06-09,2023-05-13,16,8,4.0
242,2022-01-24,2022-01-27,23.0,Female,Tammyview,0,0,1,,,2022-01-25,1,1,1.0
243,2024-04-28,2024-05-09,59.0,Male,Tylerport,1,0,0,2024-05-07,,,4,1,1.0
244,2023-12-23,2024-03-11,69.0,Male,West Taylorhaven,1,0,0,2023-12-29,,,25,11,6.0
245,2022-11-11,2024-04-27,54.0,Male,South James,1,0,0,2022-12-15,,,161,12,11.0
246,2024-03-13,2024-04-08,23.0,Male,West Ryanberg,0,1,0,,2024-04-05,,7,1,1.0
247,2020-11-24,2024-04-06,20.0,Male,North Katherineberg,0,0,0,,,,206,61,69.04999999999927
248,2022-08-30,2022-09-03,67.0,Male,East Robertoview,0,1,0,,2022-09-01,,1,1,1.0
249,2020-07-09,2022-01-23,37.0,Male,Brianhaven,0,0,0,,,,33,111,29.0
250,2022-09-03,2023-04-07,60.0,Male,Emilyton,0,0,0,,,,42,13,12.0
251,2021-05-27,2021-09-09,41.0,Female,Lake Williamfurt,0,0,1,,,2021-06-05,13,3,3.0
252,2020-10-04,2022-09-05,55.0,Female,Jonathanfurt,0,0,0,,,,104,54,15.0
253,2023-01-15,2023-10-07,43.0,Female,Brownbury,1,1,1,2023-07-10,2023-09-07,2023-02-14,45,34,21.0
254,2023-11-16,2024-03-06,40.0,Female,Reedton,1,1,0,2023-12-11,2024-02-15,,26,4,7.0
255,2020-01-19,2020-02-28,32.0,Female,Johnsonmouth,0,0,1,,,2020-02-05,12,5,3.0
256,2021-09-02,2022-03-29,49.0,Female,Haynesberg,0,0,0,,,,87,13,9.0
257,2021-10-25,2024-01-09,32.0,Male,North Aaron,2,0,0,2023-02-12,,,255,29,30.0
258,2020-06-16,2023-11-16,21.0,Male,Gonzalezhaven,0,0,1,,,2023-09-25,363,120,29.0
259,2020-09-05,2023-05-11,39.0,Male,New Randy,2,0,0,2023-01-22,,,308,121,25.0
260,2022-09-24,2023-05-07,66.0,Female,Tracifurt,0,1,0,,2023-02-22,,94,18,1.0
262,2020-06-29,2023-05-25,69.0,Female,South Emily,0,0,2,,,2022-03-28,363,139,59.0
263,2023-07-29,2023-12-06,24.0,Male,New Timothyberg,0,0,0,,,,11,9,11.0
264,2023-01-29,2024-01-29,43.0,Male,South George,1,1,0,2023-06-29,2023-03-05,,82,21,19.0
265,2021-11-05,2022-04-04,69.0,Male,West Sharon,1,0,1,2022-01-08,,2021-11-06,64,4,14.0
266,2023-08-13,2023-10-13,35.0,Female,Conwayville,1,0,0,2023-09-09,,,5,1,4.0
267,2021-08-05,2021-11-08,63.0,Male,Andersonbury,0,0,0,,,,35,9,1.0
268,2023-04-19,2023-12-29,29.0,Male,Markview,0,1,0,,2023-08-02,,100,38,11.0
269,2023-12-23,2024-02-18,30.0,Female,Hollyfort,0,0,0,,,,3,10,2.0
270,2023-06-25,2023-08-15,69.0,Male,East Krystalton,0,0,0,,,,23,5,3.0
271,2024-04-29,2024-05-26,64.0,Male,Williamsmouth,0,0,0,,,,5,4,1.0
272,2020-04-20,2023-10-18,50.0,Female,Colleenland,0,0,0,,,,363,74,69.04999999999927
273,2021-09-18,2022-06-21,66.0,Female,Lake Kelsey,0,0,0,,,,76,13,1.0
